64	64
-775.000000	-775.000000	0.005885
-775.000000	-750.000000	0.005496
-775.000000	-725.000000	0.005034
-775.000000	-700.000000	0.004494
-775.000000	-675.000000	0.003868
-775.000000	-650.000000	0.003149
-775.000000	-625.000000	0.002332
-775.000000	-600.000000	0.001410
-775.000000	-575.000000	0.000377
-775.000000	-550.000000	-0.000771
-775.000000	-525.000000	-0.002037
-775.000000	-500.000000	-0.003423
-775.000000	-475.000000	-0.004930
-775.000000	-450.000000	-0.006553
-775.000000	-425.000000	-0.008289
-775.000000	-400.000000	-0.010129
-775.000000	-375.000000	-0.012061
-775.000000	-350.000000	-0.014070
-775.000000	-325.000000	-0.016136
-775.000000	-300.000000	-0.018238
-775.000000	-275.000000	-0.020349
-775.000000	-250.000000	-0.022439
-775.000000	-225.000000	-0.024477
-775.000000	-200.000000	-0.026427
-775.000000	-175.000000	-0.028255
-775.000000	-150.000000	-0.029927
-775.000000	-125.000000	-0.031408
-775.000000	-100.000000	-0.032668
-775.000000	-75.000000	-0.033679
-775.000000	-50.000000	-0.034417
-775.000000	-25.000000	-0.034868
-775.000000	0.000000	-0.035019
-775.000000	25.000000	-0.034868
-775.000000	50.000000	-0.034417
-775.000000	75.000000	-0.033679
-775.000000	100.000000	-0.032668
-775.000000	125.000000	-0.031408
-775.000000	150.000000	-0.029927
-775.000000	175.000000	-0.028255
-775.000000	200.000000	-0.026427
-775.000000	225.000000	-0.024477
-775.000000	250.000000	-0.022439
-775.000000	275.000000	-0.020349
-775.000000	300.000000	-0.018238
-775.000000	325.000000	-0.016136
-775.000000	350.000000	-0.014070
-775.000000	375.000000	-0.012061
-775.000000	400.000000	-0.010129
-775.000000	425.000000	-0.008289
-775.000000	450.000000	-0.006553
-775.000000	475.000000	-0.004930
-775.000000	500.000000	-0.003423
-775.000000	525.000000	-0.002037
-775.000000	550.000000	-0.000771
-775.000000	575.000000	0.000377
-775.000000	600.000000	0.001410
-775.000000	625.000000	0.002332
-775.000000	650.000000	0.003149
-775.000000	675.000000	0.003868
-775.000000	700.000000	0.004494
-775.000000	725.000000	0.005034
-775.000000	750.000000	0.005496
-775.000000	775.000000	0.005885
-775.000000	800.000000	0.006209
-750.000000	-775.000000	0.006797
-750.000000	-750.000000	0.006427
-750.000000	-725.000000	0.005980
-750.000000	-700.000000	0.005449
-750.000000	-675.000000	0.004824
-750.000000	-650.000000	0.004098
-750.000000	-625.000000	0.003263
-750.000000	-600.000000	0.002311
-750.000000	-575.000000	0.001235
-750.000000	-550.000000	0.000028
-750.000000	-525.000000	-0.001314
-750.000000	-500.000000	-0.002795
-750.000000	-475.000000	-0.004417
-750.000000	-450.000000	-0.006177
-750.000000	-425.000000	-0.008072
-750.000000	-400.000000	-0.010093
-750.000000	-375.000000	-0.012229
-750.000000	-350.000000	-0.014464
-750.000000	-325.000000	-0.016775
-750.000000	-300.000000	-0.019139
-750.000000	-275.000000	-0.021524
-750.000000	-250.000000	-0.023897
-750.000000	-225.000000	-0.026220
-750.000000	-200.000000	-0.028453
-750.000000	-175.000000	-0.030553
-750.000000	-150.000000	-0.032479
-750.000000	-125.000000	-0.034191
-750.000000	-100.000000	-0.035649
-750.000000	-75.000000	-0.036821
-750.000000	-50.000000	-0.037680
-750.000000	-25.000000	-0.038203
-750.000000	0.000000	-0.038379
-750.000000	25.000000	-0.038203
-750.000000	50.000000	-0.037680
-750.000000	75.000000	-0.036821
-750.000000	100.000000	-0.035649
-750.000000	125.000000	-0.034191
-750.000000	150.000000	-0.032479
-750.000000	175.000000	-0.030553
-750.000000	200.000000	-0.028453
-750.000000	225.000000	-0.026220
-750.000000	250.000000	-0.023897
-750.000000	275.000000	-0.021524
-750.000000	300.000000	-0.019139
-750.000000	325.000000	-0.016775
-750.000000	350.000000	-0.014464
-750.000000	375.000000	-0.012229
-750.000000	400.000000	-0.010093
-750.000000	425.000000	-0.008072
-750.000000	450.000000	-0.006177
-750.000000	475.000000	-0.004417
-750.000000	500.000000	-0.002795
-750.000000	525.000000	-0.001314
-750.000000	550.000000	0.000028
-750.000000	575.000000	0.001235
-750.000000	600.000000	0.002311
-750.000000	625.000000	0.003263
-750.000000	650.000000	0.004098
-750.000000	675.000000	0.004824
-750.000000	700.000000	0.005449
-750.000000	725.000000	0.005980
-750.000000	750.000000	0.006427
-750.000000	775.000000	0.006797
-750.000000	800.000000	0.007097
-725.000000	-775.000000	0.007801
-725.000000	-750.000000	0.007459
-725.000000	-725.000000	0.007035
-725.000000	-700.000000	0.006520
-725.000000	-675.000000	0.005904
-725.000000	-650.000000	0.005178
-725.000000	-625.000000	0.004332
-725.000000	-600.000000	0.003356
-725.000000	-575.000000	0.002242
-725.000000	-550.000000	0.000979
-725.000000	-525.000000	-0.000438
-725.000000	-500.000000	-0.002016
-725.000000	-475.000000	-0.003757
-725.000000	-450.000000	-0.005662
-725.000000	-425.000000	-0.007728
-725.000000	-400.000000	-0.009948
-725.000000	-375.000000	-0.012309
-725.000000	-350.000000	-0.014795
-725.000000	-325.000000	-0.017383
-725.000000	-300.000000	-0.020045
-725.000000	-275.000000	-0.022745
-725.000000	-250.000000	-0.025445
-725.000000	-225.000000	-0.028101
-725.000000	-200.000000	-0.030664
-725.000000	-175.000000	-0.033084
-725.000000	-150.000000	-0.035311
-725.000000	-125.000000	-0.037295
-725.000000	-100.000000	-0.038990
-725.000000	-75.000000	-0.040355
-725.000000	-50.000000	-0.041356
-725.000000	-25.000000	-0.041967
-725.000000	0.000000	-0.042173
-725.000000	25.000000	-0.041967
-725.000000	50.000000	-0.041356
-725.000000	75.000000	-0.040355
-725.000000	100.000000	-0.038990
-725.000000	125.000000	-0.037295
-725.000000	150.000000	-0.035311
-725.000000	175.000000	-0.033084
-725.000000	200.000000	-0.030664
-725.000000	225.000000	-0.028101
-725.000000	250.000000	-0.025445
-725.000000	275.000000	-0.022745
-725.000000	300.000000	-0.020045
-725.000000	325.000000	-0.017383
-725.000000	350.000000	-0.014795
-725.000000	375.000000	-0.012309
-725.000000	400.000000	-0.009948
