64	64
-775.000000	-775.000000	-0.018927
-775.000000	-750.000000	-0.019803
-775.000000	-725.000000	-0.020692
-775.000000	-700.000000	-0.021591
-775.000000	-675.000000	-0.022490
-775.000000	-650.000000	-0.023384
-775.000000	-625.000000	-0.024263
-775.000000	-600.000000	-0.025115
-775.000000	-575.000000	-0.025928
-775.000000	-550.000000	-0.026689
-775.000000	-525.000000	-0.027383
-775.000000	-500.000000	-0.027991
-775.000000	-475.000000	-0.028497
-775.000000	-450.000000	-0.028880
-775.000000	-425.000000	-0.029120
-775.000000	-400.000000	-0.029197
-775.000000	-375.000000	-0.029090
-775.000000	-350.000000	-0.028779
-775.000000	-325.000000	-0.028247
-775.000000	-300.000000	-0.027476
-775.000000	-275.000000	-0.026455
-775.000000	-250.000000	-0.025173
-775.000000	-225.000000	-0.023628
-775.000000	-200.000000	-0.021818
-775.000000	-175.000000	-0.019753
-775.000000	-150.000000	-0.017445
-775.000000	-125.000000	-0.014914
-775.000000	-100.000000	-0.012185
-775.000000	-75.000000	-0.009291
-775.000000	-50.000000	-0.006268
-775.000000	-25.000000	-0.003156
-775.000000	0.000000	0.000000
-775.000000	25.000000	0.003156
-775.000000	50.000000	0.006268
-775.000000	75.000000	0.009291
-775.000000	100.000000	0.012185
-775.000000	125.000000	0.014914
-775.000000	150.000000	0.017445
-775.000000	175.000000	0.019753
-775.000000	200.000000	0.021818
-775.000000	225.000000	0.023628
-775.000000	250.000000	0.025173
-775.000000	275.000000	0.026455
-775.000000	300.000000	0.027476
-775.000000	325.000000	0.028247
-775.000000	350.000000	0.028779
-775.000000	375.000000	0.029090
-775.000000	400.000000	0.029197
-775.000000	425.000000	0.029120
-775.000000	450.000000	0.028880
-775.000000	475.000000	0.028497
-775.000000	500.000000	0.027991
-775.000000	525.000000	0.027383
-775.000000	550.000000	0.026689
-775.000000	575.000000	0.025928
-775.000000	600.000000	0.025115
-775.000000	625.000000	0.024263
-775.000000	650.000000	0.023384
-775.000000	675.000000	0.022490
-775.000000	700.000000	0.021591
-775.000000	725.000000	0.020692
-775.000000	750.000000	0.019803
-775.000000	775.000000	0.018927
-775.000000	800.000000	0.018069
-750.000000	-775.000000	-0.019803
-750.000000	-750.000000	-0.020771
-750.000000	-725.000000	-0.021761
-750.000000	-700.000000	-0.022767
-750.000000	-675.000000	-0.023781
-750.000000	-650.000000	-0.024796
-750.000000	-625.000000	-0.025802
-750.000000	-600.000000	-0.026787
-750.000000	-575.000000	-0.027738
-750.000000	-550.000000	-0.028640
-750.000000	-525.000000	-0.029475
-750.000000	-500.000000	-0.030224
-750.000000	-475.000000	-0.030867
-750.000000	-450.000000	-0.031381
-750.000000	-425.000000	-0.031742
-750.000000	-400.000000	-0.031925
-750.000000	-375.000000	-0.031906
-750.000000	-350.000000	-0.031661
-750.000000	-325.000000	-0.031166
-750.000000	-300.000000	-0.030402
-750.000000	-275.000000	-0.029350
-750.000000	-250.000000	-0.028000
-750.000000	-225.000000	-0.026343
-750.000000	-200.000000	-0.024379
-750.000000	-175.000000	-0.022115
-750.000000	-150.000000	-0.019565
-750.000000	-125.000000	-0.016751
-750.000000	-100.000000	-0.013704
-750.000000	-75.000000	-0.010459
-750.000000	-50.000000	-0.007061
-750.000000	-25.000000	-0.003557
-750.000000	0.000000	0.000000
-750.000000	25.000000	0.003557
-750.000000	50.000000	0.007061
-750.000000	75.000000	0.010459
-750.000000	100.000000	0.013704
-750.000000	125.000000	0.016751
-750.000000	150.000000	0.019565
-750.000000	175.000000	0.022115
-750.000000	200.000000	0.024379
-750.000000	225.000000	0.026343
-750.000000	250.000000	0.028000
-750.000000	275.000000	0.029350
-750.000000	300.000000	0.030402
-750.000000	325.000000	0.031166
-750.000000	350.000000	0.031661
-750.000000	375.000000	0.031906
-750.000000	400.000000	0.031925
-750.000000	425.000000	0.031742
-750.000000	450.000000	0.031381
-750.000000	475.000000	0.030867
-750.000000	500.000000	0.030224
-750.000000	525.000000	0.029475
-750.000000	550.000000	0.028640
-750.000000	575.000000	0.027738
-750.000000	600.000000	0.026787
-750.000000	625.000000	0.025802
-750.000000	650.000000	0.024796
-750.000000	675.000000	0.023781
-750.000000	700.000000	0.022767
