64	64
-775.000000	-775.000000	-0.004879
-775.000000	-750.000000	-0.005104
-775.000000	-725.000000	-0.005333
-775.000000	-700.000000	-0.005564
-775.000000	-675.000000	-0.005795
-775.000000	-650.000000	-0.006024
-775.000000	-625.000000	-0.006249
-775.000000	-600.000000	-0.006468
-775.000000	-575.000000	-0.006676
-775.000000	-550.000000	-0.006871
-775.000000	-525.000000	-0.007048
-775.000000	-500.000000	-0.007203
-775.000000	-475.000000	-0.007331
-775.000000	-450.000000	-0.007428
-775.000000	-425.000000	-0.007488
-775.000000	-400.000000	-0.007506
-775.000000	-375.000000	-0.007476
-775.000000	-350.000000	-0.007395
-775.000000	-325.000000	-0.007256
-775.000000	-300.000000	-0.007056
-775.000000	-275.000000	-0.006792
-775.000000	-250.000000	-0.006462
-775.000000	-225.000000	-0.006063
-775.000000	-200.000000	-0.005598
-775.000000	-175.000000	-0.005067
-775.000000	-150.000000	-0.004474
-775.000000	-125.000000	-0.003824
-775.000000	-100.000000	-0.003124
-775.000000	-75.000000	-0.002382
-775.000000	-50.000000	-0.001607
-775.000000	-25.000000	-0.000809
-775.000000	0.000000	0.000000
-775.000000	25.000000	0.000809
-775.000000	50.000000	0.001607
-775.000000	75.000000	0.002382
-775.000000	100.000000	0.003124
-775.000000	125.000000	0.003824
-775.000000	150.000000	0.004474
-775.000000	175.000000	0.005067
-775.000000	200.000000	0.005598
-775.000000	225.000000	0.006063
-775.000000	250.000000	0.006462
-775.000000	275.000000	0.006792
-775.000000	300.000000	0.007056
-775.000000	325.000000	0.007256
-775.000000	350.000000	0.007395
-775.000000	375.000000	0.007476
-775.000000	400.000000	0.007506
-775.000000	425.000000	0.007488
-775.000000	450.000000	0.007428
-775.000000	475.000000	0.007331
-775.000000	500.000000	0.007203
-775.000000	525.000000	0.007048
-775.000000	550.000000	0.006871
-775.000000	575.000000	0.006676
-775.000000	600.000000	0.006468
-775.000000	625.000000	0.006249
-775.000000	650.000000	0.006024
-775.000000	675.000000	0.005795
-775.000000	700.000000	0.005564
-775.000000	725.000000	0.005333
-775.000000	750.000000	0.005104
-775.000000	775.000000	0.004879
-775.000000	800.000000	0.004658
-750.000000	-775.000000	-0.005275
-750.000000	-750.000000	-0.005532
-750.000000	-725.000000	-0.005795
-750.000000	-700.000000	-0.006062
-750.000000	-675.000000	-0.006331
-750.000000	-650.000000	-0.006600
-750.000000	-625.000000	-0.006867
-750.000000	-600.000000	-0.007128
-750.000000	-575.000000	-0.007379
-750.000000	-550.000000	-0.007618
-750.000000	-525.000000	-0.007838
-750.000000	-500.000000	-0.008035
-750.000000	-475.000000	-0.008204
-750.000000	-450.000000	-0.008338
-750.000000	-425.000000	-0.008432
-750.000000	-400.000000	-0.008478
-750.000000	-375.000000	-0.008471
-750.000000	-350.000000	-0.008403
-750.000000	-325.000000	-0.008269
-750.000000	-300.000000	-0.008064
-750.000000	-275.000000	-0.007783
-750.000000	-250.000000	-0.007423
-750.000000	-225.000000	-0.006981
-750.000000	-200.000000	-0.006459
-750.000000	-175.000000	-0.005858
-750.000000	-150.000000	-0.005182
-750.000000	-125.000000	-0.004436
-750.000000	-100.000000	-0.003628
-750.000000	-75.000000	-0.002769
-750.000000	-50.000000	-0.001869
-750.000000	-25.000000	-0.000942
-750.000000	0.000000	0.000000
-750.000000	25.000000	0.000942
-750.000000	50.000000	0.001869
-750.000000	75.000000	0.002769
-750.000000	100.000000	0.003628
-750.000000	125.000000	0.004436
-750.000000	150.000000	0.005182
-750.000000	175.000000	0.005858
-750.000000	200.000000	0.006459
-750.000000	225.000000	0.006981
-750.000000	250.000000	0.007423
-750.000000	275.000000	0.007783
-750.000000	300.000000	0.008064
-750.000000	325.000000	0.008269
-750.000000	350.000000	0.008403
-750.000000	375.000000	0.008471
-750.000000	400.000000	0.008478
-750.000000	425.000000	0.008432
-750.000000	450.000000	0.008338
-750.000000	475.000000	0.008204
-750.000000	500.000000	0.008035
-750.000000	525.000000	0.007838
-750.000000	550.000000	0.007618
-750.000000	575.000000	0.007379
-750.000000	600.000000	0.007128
-750.000000	625.000000	0.006867
-750.000000	650.000000	0.006600
-750.000000	675.000000	0.006331
-750.000000	700.000000	0.006062
-750.000000	725.000000	0.005795
-750.000000	750.000000	0.005532
-750.000000	775.000000	0.005275
-750.000000	800.000000	0.005024
-725.000000	-775.000000	-0.005702
-725.000000	-750.000000	-0.005995
-725.000000	-725.000000	-0.006297
-725.000000	-700.000000	-0.006605
-725.000000	-675.000000	-0.006918
-725.000000	-650.000000	-0.007234
-725.000000	-625.000000	-0.007548
-725.000000	-600.000000	-0.007859
-725.000000	-575.000000	-0.008162
-725.000000	-550.000000	-0.008453
-725.000000	-525.000000	-0.008725
-725.000000	-500.000000	-0.008974
-725.000000	-475.000000	-0.009193
-725.000000	-450.000000	-0.009375
-725.000000	-425.000000	-0.009512
-725.000000	-400.000000	-0.009595
-725.000000	-375.000000	-0.009618
-725.000000	-350.000000	-0.009571
-725.000000	-325.000000	-0.009448
-725.000000	-300.000000	-0.009241
-725.000000	-275.000000	-0.008945
-725.000000	-250.000000	-0.008554
-725.000000	-225.000000	-0.008066
-725.000000	-200.000000	-0.007480
-725.000000	-175.000000	-0.006798
-725.000000	-150.000000	-0.006024
-725.000000	-125.000000	-0.005165
-725.000000	-100.000000	-0.004230
-725.000000	-75.000000	-0.003232
-725.000000	-50.000000	-0.002183
-725.000000	-25.000000	-0.001100
-725.000000	0.000000	0.000000
-725.000000	25.000000	0.001100
-725.000000	50.000000	0.002183
-725.000000	75.000000	0.003232
-725.000000	100.000000	0.004230
-725.000000	125.000000	0.005165
-725.000000	150.000000	0.006024
-725.000000	175.000000	0.006798
-725.000000	200.000000	0.007480
-725.000000	225.000000	0.008066
-725.000000	250.000000	0.008554
-725.000000	275.000000	0.008945
-725.000000	300.000000	0.009241
-725.000000	325.000000	0.009448
-725.000000	350.000000	0.009571
-725.000000	375.000000	0.009618
-725.000000	400.000000	0.009595
-725.000000	425.000000	0.009512
-725.000000	450.000000	0.009375
-725.000000	475.000000	0.009193
-725.000000	500.000000	0.008974
-725.000000	525.000000	0.008725
-725.000000	550.000000	0.008453
-725.000000	575.000000	0.008162
-725.000000	600.000000	0.007859
-725.000000	625.000000	0.007548
-725.000000	650.000000	0.007234
-725.000000	675.000000	0.006918
-725.000000	700.000000	0.006605
-725.000000	725.000000	0.006297
-725.000000	750.000000	0.005995
-725.000000	775.000000	0.005702
-725.000000	800.000000	0.005417
-700.000000	-775.000000	-0.006161
-700.000000	-750.000000	-0.006496
-700.000000	-725.000000	-0.006842
-700.000000	-700.000000	-0.007198
-700.000000	-675.000000	-0.007561
-700.000000	-650.000000	-0.007929
-700.000000	-625.000000	-0.008300
-700.000000	-600.000000	-0.008670
-700.000000	-575.000000	-0.009034
-700.000000	-550.000000	-0.009387
-700.000000	-525.000000	-0.009723
-700.000000	-500.000000	-0.010035
-700.000000	-475.000000	-0.010316
-700.000000	-450.000000	-0.010556
-700.000000	-425.000000	-0.010748
-700.000000	-400.000000	-0.010881
-700.000000	-375.000000	-0.010944
-700.000000	-350.000000	-0.010929
-700.000000	-325.000000	-0.010824
-700.000000	-300.000000	-0.010621
-700.000000	-275.000000	-0.010312
-700.000000	-250.000000	-0.009890
-700.000000	-225.000000	-0.009351
-700.000000	-200.000000	-0.008694
-700.000000	-175.000000	-0.007919
-700.000000	-150.000000	-0.007032
-700.000000	-125.000000	-0.006040
-700.000000	-100.000000	-0.004954
-700.000000	-75.000000	-0.003789
-700.000000	-50.000000	-0.002562
-700.000000	-25.000000	-0.001292
-700.000000	0.000000	0.000000
-700.000000	25.000000	0.001292
-700.000000	50.000000	0.002562
-700.000000	75.000000	0.003789
-700.000000	100.000000	0.004954
-700.000000	125.000000	0.006040
-700.000000	150.000000	0.007032
-700.000000	175.000000	0.007919
-700.000000	200.000000	0.008694
-700.000000	225.000000	0.009351
-700.000000	250.000000	0.009890
-700.000000	275.000000	0.010312
-700.000000	300.000000	0.010621
-700.000000	325.000000	0.010824
-700.000000	350.000000	0.010929
-700.000000	375.000000	0.010944
-700.000000	400.000000	0.010881
-700.000000	425.000000	0.010748
-700.000000	450.000000	0.010556
-700.000000	475.000000	0.010316
-700.000000	500.000000	0.010035
-700.000000	525.000000	0.009723
-700.000000	550.000000	0.009387
-700.000000	575.000000	0.009034
-700.000000	600.000000	0.008670
-700.000000	625.000000	0.008300
-700.000000	650.000000	0.007929
-700.000000	675.000000	0.007561
-700.000000	700.000000	0.007198
-700.000000	725.000000	0.006842
-700.000000	750.000000	0.006496
-700.000000	775.000000	0.006161
-700.000000	800.000000	0.005839
-675.000000	-775.000000	-0.006656
-675.000000	-750.000000	-0.007037
-675.000000	-725.000000	-0.007432
-675.000000	-700.000000	-0.007842
-675.000000	-675.000000	-0.008263
-675.000000	-650.000000	-0.008693
-675.000000	-625.000000	-0.009129
-675.000000	-600.000000	-0.009567
-675.000000	-575.000000	-0.010003
-675.000000	-550.000000	-0.010431
-675.000000	-525.000000	-0.010843
-675.000000	-500.000000	-0.011232
-675.000000	-475.000000	-0.011589
-675.000000	-450.000000	-0.011904
-675.000000	-425.000000	-0.012166
-675.000000	-400.000000	-0.012362
-675.000000	-375.000000	-0.012481
-675.000000	-350.000000	-0.012509
-675.000000	-325.000000	-0.012434
-675.000000	-300.000000	-0.012243
-675.000000	-275.000000	-0.011926
-675.000000	-250.000000	-0.011474
-675.000000	-225.000000	-0.010881
-675.000000	-200.000000	-0.010144
-675.000000	-175.000000	-0.009263
-675.000000	-150.000000	-0.008243
-675.000000	-125.000000	-0.007093
-675.000000	-100.000000	-0.005827
-675.000000	-75.000000	-0.004462
-675.000000	-50.000000	-0.003020
-675.000000	-25.000000	-0.001523
-675.000000	0.000000	0.000000
-675.000000	25.000000	0.001523
-675.000000	50.000000	0.003020
-675.000000	75.000000	0.004462
-675.000000	100.000000	0.005827
-675.000000	125.000000	0.007093
-675.000000	150.000000	0.008243
-675.000000	175.000000	0.009263
-675.000000	200.000000	0.010144
-675.000000	225.000000	0.010881
-675.000000	250.000000	0.011474
-675.000000	275.000000	0.011926
-675.000000	300.000000	0.012243
-675.000000	325.000000	0.012434
-675.000000	350.000000	0.012509
-675.000000	375.000000	0.012481
-675.000000	400.000000	0.012362
-675.000000	425.000000	0.012166
-675.000000	450.000000	0.011904
-675.000000	475.000000	0.011589
-675.000000	500.000000	0.011232
-675.000000	525.000000	0.010843
-675.000000	550.000000	0.010431
-675.000000	575.000000	0.010003
-675.000000	600.000000	0.009567
-675.000000	625.000000	0.009129
-675.000000	650.000000	0.008693
-675.000000	675.000000	0.008263
-675.000000	700.000000	0.007842
-675.000000	725.000000	0.007432
-675.000000	750.000000	0.007037
-675.000000	775.000000	0.006656
-675.000000	800.000000	0.006291
-650.000000	-775.000000	-0.007186
-650.000000	-750.000000	-0.007619
-650.000000	-725.000000	-0.008071
