64	64
-775.000000	-775.000000	0.005885
-775.000000	-750.000000	0.006797
-775.000000	-725.000000	0.007801
-775.000000	-700.000000	0.008904
-775.000000	-675.000000	0.010113
-775.000000	-650.000000	0.011434
-775.000000	-625.000000	0.012873
-775.000000	-600.000000	0.014434
-775.000000	-575.000000	0.016123
-775.000000	-550.000000	0.017942
-775.000000	-525.000000	0.019892
-775.000000	-500.000000	0.021974
-775.000000	-475.000000	0.024184
-775.000000	-450.000000	0.026516
-775.000000	-425.000000	0.028963
-775.000000	-400.000000	0.031511
-775.000000	-375.000000	0.034146
-775.000000	-350.000000	0.036848
-775.000000	-325.000000	0.039591
-775.000000	-300.000000	0.042350
-775.000000	-275.000000	0.045092
-775.000000	-250.000000	0.047782
-775.000000	-225.000000	0.050382
-775.000000	-200.000000	0.052854
-775.000000	-175.000000	0.055157
-775.000000	-150.000000	0.057251
-775.000000	-125.000000	0.059098
-775.000000	-100.000000	0.060662
-775.000000	-75.000000	0.061914
-775.000000	-50.000000	0.062827
-775.000000	-25.000000	0.063383
-775.000000	0.000000	0.063569
-775.000000	25.000000	0.063383
-775.000000	50.000000	0.062827
-775.000000	75.000000	0.061914
-775.000000	100.000000	0.060662
-775.000000	125.000000	0.059098
-775.000000	150.000000	0.057251
-775.000000	175.000000	0.055157
-775.000000	200.000000	0.052854
-775.000000	225.000000	0.050382
-775.000000	250.000000	0.047782
-775.000000	275.000000	0.045092
-775.000000	300.000000	0.042350
-775.000000	325.000000	0.039591
-775.000000	350.000000	0.036848
-775.000000	375.000000	0.034146
-775.000000	400.000000	0.031511
-775.000000	425.000000	0.028963
-775.000000	450.000000	0.026516
-775.000000	475.000000	0.024184
-775.000000	500.000000	0.021974
-775.000000	525.000000	0.019892
-775.000000	550.000000	0.017942
-775.000000	575.000000	0.016123
-775.000000	600.000000	0.014434
-775.000000	625.000000	0.012873
-775.000000	650.000000	0.011434
-775.000000	675.000000	0.010113
-775.000000	700.000000	0.008904
-775.000000	725.000000	0.007801
-775.000000	750.000000	0.006797
-775.000000	775.000000	0.005885
-775.000000	800.000000	0.005060
-750.000000	-775.000000	0.005496
-750.000000	-750.000000	0.006427
-750.000000	-725.000000	0.007459
-750.000000	-700.000000	0.008598
-750.000000	-675.000000	0.009854
-750.000000	-650.000000	0.011234
-750.000000	-625.000000	0.012745
-750.000000	-600.000000	0.014394
-750.000000	-575.000000	0.016186
-750.000000	-550.000000	0.018128
-750.000000	-525.000000	0.020221
-750.000000	-500.000000	0.022467
-750.000000	-475.000000	0.024864
-750.000000	-450.000000	0.027408
-750.000000	-425.000000	0.030091
-750.000000	-400.000000	0.032899
-750.000000	-375.000000	0.035817
-750.000000	-350.000000	0.038823
-750.000000	-325.000000	0.041891
-750.000000	-300.000000	0.044990
-750.000000	-275.000000	0.048083
-750.000000	-250.000000	0.051129
-750.000000	-225.000000	0.054086
-750.000000	-200.000000	0.056906
-750.000000	-175.000000	0.059541
-750.000000	-150.000000	0.061944
-750.000000	-125.000000	0.064069
-750.000000	-100.000000	0.065872
-750.000000	-75.000000	0.067318
-750.000000	-50.000000	0.068373
-750.000000	-25.000000	0.069016
-750.000000	0.000000	0.069232
-750.000000	25.000000	0.069016
-750.000000	50.000000	0.068373
-750.000000	75.000000	0.067318
-750.000000	100.000000	0.065872
-750.000000	125.000000	0.064069
-750.000000	150.000000	0.061944
-750.000000	175.000000	0.059541
