64	64
-775.000000	-775.000000	-0.011770
-775.000000	-750.000000	-0.012292
-775.000000	-725.000000	-0.012835
-775.000000	-700.000000	-0.013398
-775.000000	-675.000000	-0.013981
-775.000000	-650.000000	-0.014583
-775.000000	-625.000000	-0.015205
-775.000000	-600.000000	-0.015844
-775.000000	-575.000000	-0.016500
-775.000000	-550.000000	-0.017171
-775.000000	-525.000000	-0.017855
-775.000000	-500.000000	-0.018550
-775.000000	-475.000000	-0.019254
-775.000000	-450.000000	-0.019963
-775.000000	-425.000000	-0.020674
-775.000000	-400.000000	-0.021383
-775.000000	-375.000000	-0.022086
-775.000000	-350.000000	-0.022778
-775.000000	-325.000000	-0.023455
-775.000000	-300.000000	-0.024112
-775.000000	-275.000000	-0.024743
-775.000000	-250.000000	-0.025342
-775.000000	-225.000000	-0.025906
-775.000000	-200.000000	-0.026427
-775.000000	-175.000000	-0.026901
-775.000000	-150.000000	-0.027323
-775.000000	-125.000000	-0.027689
-775.000000	-100.000000	-0.027994
-775.000000	-75.000000	-0.028235
-775.000000	-50.000000	-0.028410
-775.000000	-25.000000	-0.028515
-775.000000	0.000000	-0.028550
-775.000000	25.000000	-0.028515
-775.000000	50.000000	-0.028410
-775.000000	75.000000	-0.028235
-775.000000	100.000000	-0.027994
-775.000000	125.000000	-0.027689
-775.000000	150.000000	-0.027323
-775.000000	175.000000	-0.026901
-775.000000	200.000000	-0.026427
-775.000000	225.000000	-0.025906
-775.000000	250.000000	-0.025342
-775.000000	275.000000	-0.024743
-775.000000	300.000000	-0.024112
-775.000000	325.000000	-0.023455
-775.000000	350.000000	-0.022778
-775.000000	375.000000	-0.022086
-775.000000	400.000000	-0.021383
-775.000000	425.000000	-0.020674
-775.000000	450.000000	-0.019963
-775.000000	475.000000	-0.019254
-775.000000	500.000000	-0.018550
-775.000000	525.000000	-0.017855
-775.000000	550.000000	-0.017171
-775.000000	575.000000	-0.016500
-775.000000	600.000000	-0.015844
-775.000000	625.000000	-0.015205
-775.000000	650.000000	-0.014583
-775.000000	675.000000	-0.013981
-775.000000	700.000000	-0.013398
-775.000000	725.000000	-0.012835
-775.000000	750.000000	-0.012292
-775.000000	775.000000	-0.011770
-775.000000	800.000000	-0.011268
-750.000000	-775.000000	-0.012292
-750.000000	-750.000000	-0.012854
-750.000000	-725.000000	-0.013439
-750.000000	-700.000000	-0.014047
-750.000000	-675.000000	-0.014678
-750.000000	-650.000000	-0.015332
-750.000000	-625.000000	-0.016008
-750.000000	-600.000000	-0.016704
-750.000000	-575.000000	-0.017421
-750.000000	-550.000000	-0.018156
-750.000000	-525.000000	-0.018907
-750.000000	-500.000000	-0.019672
-750.000000	-475.000000	-0.020448
-750.000000	-450.000000	-0.021231
-750.000000	-425.000000	-0.022019
-750.000000	-400.000000	-0.022806
-750.000000	-375.000000	-0.023588
-750.000000	-350.000000	-0.024360
-750.000000	-325.000000	-0.025116
-750.000000	-300.000000	-0.025851
-750.000000	-275.000000	-0.026558
-750.000000	-250.000000	-0.027232
-750.000000	-225.000000	-0.027866
-750.000000	-200.000000	-0.028453
-750.000000	-175.000000	-0.028988
-750.000000	-150.000000	-0.029465
-750.000000	-125.000000	-0.029878
-750.000000	-100.000000	-0.030223
-750.000000	-75.000000	-0.030496
-750.000000	-50.000000	-0.030694
