64	64
-775.000000	-775.000000	-1.590144
-775.000000	-750.000000	-1.790034
-775.000000	-725.000000	-2.005691
-775.000000	-700.000000	-2.237597
-775.000000	-675.000000	-2.486088
-775.000000	-650.000000	-2.751312
-775.000000	-625.000000	-3.033177
-775.000000	-600.000000	-3.331306
-775.000000	-575.000000	-3.644982
-775.000000	-550.000000	-3.973085
-775.000000	-525.000000	-4.314041
-775.000000	-500.000000	-4.665761
-775.000000	-475.000000	-5.025592
-775.000000	-450.000000	-5.390275
-775.000000	-425.000000	-5.755920
-775.000000	-400.000000	-6.117993
-775.000000	-375.000000	-6.471335
-775.000000	-350.000000	-6.810203
-775.000000	-325.000000	-7.128354
-775.000000	-300.000000	-7.419156
-775.000000	-275.000000	-7.675739
-775.000000	-250.000000	-7.891184
-775.000000	-225.000000	-8.058742
-775.000000	-200.000000	-8.172072
-775.000000	-175.000000	-8.225499
-775.000000	-150.000000	-8.214264
-775.000000	-125.000000	-8.134765
-775.000000	-100.000000	-7.984759
-775.000000	-75.000000	-7.763530
-775.000000	-50.000000	-7.471989
-775.000000	-25.000000	-7.112710
-775.000000	0.000000	-6.689902
-775.000000	25.000000	-6.209296
-775.000000	50.000000	-5.677970
-775.000000	75.000000	-5.104122
-775.000000	100.000000	-4.496785
-775.000000	125.000000	-3.865517
-775.000000	150.000000	-3.220087
-775.000000	175.000000	-2.570147
-775.000000	200.000000	-1.924947
-775.000000	225.000000	-1.293071
-775.000000	250.000000	-0.682226
-775.000000	275.000000	-0.099084
-775.000000	300.000000	0.450815
-775.000000	325.000000	0.963114
-775.000000	350.000000	1.434627
-775.000000	375.000000	1.863293
-775.000000	400.000000	2.248085
-775.000000	425.000000	2.588907
-775.000000	450.000000	2.886459
-775.000000	475.000000	3.142107
-775.000000	500.000000	3.357749
-775.000000	525.000000	3.535682
-775.000000	550.000000	3.678489
-775.000000	575.000000	3.788930
-775.000000	600.000000	3.869852
-775.000000	625.000000	3.924114
-775.000000	650.000000	3.954527
-775.000000	675.000000	3.963802
-775.000000	700.000000	3.954519
-775.000000	725.000000	3.929101
-775.000000	750.000000	3.889797
-775.000000	775.000000	3.838673
-775.000000	800.000000	3.777616
-750.000000	-775.000000	-1.577466
-750.000000	-750.000000	-1.788635
-750.000000	-725.000000	-2.017574
-750.000000	-700.000000	-2.264983
-750.000000	-675.000000	-2.531414
-750.000000	-650.000000	-2.817230
-750.000000	-625.000000	-3.122542
-750.000000	-600.000000	-3.447158
-750.000000	-575.000000	-3.790510
-750.000000	-550.000000	-4.151584
-750.000000	-525.000000	-4.528847
-750.000000	-500.000000	-4.920173
-750.000000	-475.000000	-5.322774
-750.000000	-450.000000	-5.733135
-750.000000	-425.000000	-6.146977
-750.000000	-400.000000	-6.559221
-750.000000	-375.000000	-6.964004
-750.000000	-350.000000	-7.354708
-750.000000	-325.000000	-7.724051
-750.000000	-300.000000	-8.064208
-750.000000	-275.000000	-8.366991
-750.000000	-250.000000	-8.624073
-750.000000	-225.000000	-8.827256
-750.000000	-200.000000	-8.968773
-750.000000	-175.000000	-9.041606
-750.000000	-150.000000	-9.039811
-750.000000	-125.000000	-8.958829
-750.000000	-100.000000	-8.795747
-750.000000	-75.000000	-8.549522
-750.000000	-50.000000	-8.221111
-750.000000	-25.000000	-7.813528
-750.000000	0.000000	-7.331804
-750.000000	25.000000	-6.782853
-750.000000	50.000000	-6.175248
-750.000000	75.000000	-5.518924
-750.000000	100.000000	-4.824821
-750.000000	125.000000	-4.104491
-750.000000	150.000000	-3.369686
-750.000000	175.000000	-2.631963
-750.000000	200.000000	-1.902308
-750.000000	225.000000	-1.190824
-750.000000	250.000000	-0.506472
-750.000000	275.000000	0.143110
-750.000000	300.000000	0.751720
-750.000000	325.000000	1.314624
-750.000000	350.000000	1.828527
-750.000000	375.000000	2.291498
-750.000000	400.000000	2.702834
-750.000000	425.000000	3.062919
-750.000000	450.000000	3.373048
-750.000000	475.000000	3.635254
-750.000000	500.000000	3.852141
-750.000000	525.000000	4.026722
-750.000000	550.000000	4.162281
-750.000000	575.000000	4.262244
-750.000000	600.000000	4.330080
-750.000000	625.000000	4.369214
-750.000000	650.000000	4.382961
-750.000000	675.000000	4.374478
-750.000000	700.000000	4.346730
-750.000000	725.000000	4.302466
-750.000000	750.000000	4.244209
-750.000000	775.000000	4.174254
-750.000000	800.000000	4.094667
-725.000000	-775.000000	-1.554894
