64	64
-775.000000	-775.000000	-4.119811
-775.000000	-750.000000	-4.289367
-775.000000	-725.000000	-4.459890
-775.000000	-700.000000	-4.630115
-775.000000	-675.000000	-4.798547
-775.000000	-650.000000	-4.963448
-775.000000	-625.000000	-5.122812
-775.000000	-600.000000	-5.274363
-775.000000	-575.000000	-5.415537
-775.000000	-550.000000	-5.543494
-775.000000	-525.000000	-5.655121
-775.000000	-500.000000	-5.747060
-775.000000	-475.000000	-5.815741
-775.000000	-450.000000	-5.857443
-775.000000	-425.000000	-5.868358
-775.000000	-400.000000	-5.844692
-775.000000	-375.000000	-5.782768
-775.000000	-350.000000	-5.679159
-775.000000	-325.000000	-5.530831
-775.000000	-300.000000	-5.335292
-775.000000	-275.000000	-5.090753
-775.000000	-250.000000	-4.796276
-775.000000	-225.000000	-4.451909
-775.000000	-200.000000	-4.058800
-775.000000	-175.000000	-3.619270
-775.000000	-150.000000	-3.136850
-775.000000	-125.000000	-2.616262
-775.000000	-100.000000	-2.063345
-775.000000	-75.000000	-1.484936
-775.000000	-50.000000	-0.888690
-775.000000	-25.000000	-0.282860
-775.000000	0.000000	0.323954
-775.000000	25.000000	0.923078
-775.000000	50.000000	1.506042
-775.000000	75.000000	2.064852
-775.000000	100.000000	2.592232
-775.000000	125.000000	3.081833
-775.000000	150.000000	3.528399
-775.000000	175.000000	3.927867
-775.000000	200.000000	4.277429
-775.000000	225.000000	4.575523
-775.000000	250.000000	4.821782
-775.000000	275.000000	5.016938
-775.000000	300.000000	5.162689
-775.000000	325.000000	5.261551
-775.000000	350.000000	5.316686
-775.000000	375.000000	5.331735
-775.000000	400.000000	5.310659
-775.000000	425.000000	5.257587
-775.000000	450.000000	5.176685
-775.000000	475.000000	5.072044
-775.000000	500.000000	4.947592
-775.000000	525.000000	4.807026
-775.000000	550.000000	4.653763
-775.000000	575.000000	4.490912
-775.000000	600.000000	4.321256
-775.000000	625.000000	4.147253
-775.000000	650.000000	3.971040
-775.000000	675.000000	3.794451
-775.000000	700.000000	3.619034
-775.000000	725.000000	3.446075
-775.000000	750.000000	3.276624
-775.000000	775.000000	3.111521
-775.000000	800.000000	2.951416
-750.000000	-775.000000	-4.369306
-750.000000	-750.000000	-4.561625
-750.000000	-725.000000	-4.756478
-750.000000	-700.000000	-4.952590
-750.000000	-675.000000	-5.148426
-750.000000	-650.000000	-5.342165
-750.000000	-625.000000	-5.531675
-750.000000	-600.000000	-5.714493
-750.000000	-575.000000	-5.887810
-750.000000	-550.000000	-6.048461
-750.000000	-525.000000	-6.192935
-750.000000	-500.000000	-6.317388
-750.000000	-475.000000	-6.417676
-750.000000	-450.000000	-6.489419
-750.000000	-425.000000	-6.528067
-750.000000	-400.000000	-6.529013
-750.000000	-375.000000	-6.487714
-750.000000	-350.000000	-6.399849
-750.000000	-325.000000	-6.261489
-750.000000	-300.000000	-6.069292
-750.000000	-275.000000	-5.820698
-750.000000	-250.000000	-5.514125
-750.000000	-225.000000	-5.149156
-750.000000	-200.000000	-4.726685
-750.000000	-175.000000	-4.249036
-750.000000	-150.000000	-3.720015
-750.000000	-125.000000	-3.144908
-750.000000	-100.000000	-2.530406
-750.000000	-75.000000	-1.884460
-750.000000	-50.000000	-1.216066
-750.000000	-25.000000	-0.534996
-750.000000	0.000000	0.148515
-750.000000	25.000000	0.824113
-750.000000	50.000000	1.481674
-750.000000	75.000000	2.111646
-750.000000	100.000000	2.705357
-750.000000	125.000000	3.255275
-750.000000	150.000000	3.755211
-750.000000	175.000000	4.200450
-750.000000	200.000000	4.587814
-750.000000	225.000000	4.915646
-750.000000	250.000000	5.183739
-750.000000	275.000000	5.393200
-750.000000	300.000000	5.546288
-750.000000	325.000000	5.646205
-750.000000	350.000000	5.696892
-750.000000	375.000000	5.702814
-750.000000	400.000000	5.668762
-750.000000	425.000000	5.599670
-750.000000	450.000000	5.500460
-750.000000	475.000000	5.375910
-750.000000	500.000000	5.230560
-750.000000	525.000000	5.068633
-750.000000	550.000000	4.893988
-750.000000	575.000000	4.710096
-750.000000	600.000000	4.520025
-750.000000	625.000000	4.326451
-750.000000	650.000000	4.131669
-750.000000	675.000000	3.937618
-750.000000	700.000000	3.745909
-750.000000	725.000000	3.557857
-750.000000	750.000000	3.374511
