64	64
-775.000000	-775.000000	0.004879
-775.000000	-750.000000	0.005275
-775.000000	-725.000000	0.005702
-775.000000	-700.000000	0.006161
-775.000000	-675.000000	0.006656
-775.000000	-650.000000	0.007186
-775.000000	-625.000000	0.007754
-775.000000	-600.000000	0.008361
-775.000000	-575.000000	0.009007
-775.000000	-550.000000	0.009693
-775.000000	-525.000000	0.010419
-775.000000	-500.000000	0.011183
-775.000000	-475.000000	0.011985
-775.000000	-450.000000	0.012821
-775.000000	-425.000000	0.013689
-775.000000	-400.000000	0.014584
-775.000000	-375.000000	0.015501
-775.000000	-350.000000	0.016432
-775.000000	-325.000000	0.017371
-775.000000	-300.000000	0.018307
-775.000000	-275.000000	0.019232
-775.000000	-250.000000	0.020133
-775.000000	-225.000000	0.020999
-775.000000	-200.000000	0.021818
-775.000000	-175.000000	0.022578
-775.000000	-150.000000	0.023266
-775.000000	-125.000000	0.023871
-775.000000	-100.000000	0.024382
-775.000000	-75.000000	0.024790
-775.000000	-50.000000	0.025087
-775.000000	-25.000000	0.025268
-775.000000	0.000000	0.025329
-775.000000	25.000000	0.025268
-775.000000	50.000000	0.025087
-775.000000	75.000000	0.024790
-775.000000	100.000000	0.024382
-775.000000	125.000000	0.023871
-775.000000	150.000000	0.023266
-775.000000	175.000000	0.022578
-775.000000	200.000000	0.021818
-775.000000	225.000000	0.020999
-775.000000	250.000000	0.020133
-775.000000	275.000000	0.019232
-775.000000	300.000000	0.018307
-775.000000	325.000000	0.017371
-775.000000	350.000000	0.016432
-775.000000	375.000000	0.015501
-775.000000	400.000000	0.014584
-775.000000	425.000000	0.013689
-775.000000	450.000000	0.012821
-775.000000	475.000000	0.011985
-775.000000	500.000000	0.011183
-775.000000	525.000000	0.010419
-775.000000	550.000000	0.009693
-775.000000	575.000000	0.009007
-775.000000	600.000000	0.008361
-775.000000	625.000000	0.007754
-775.000000	650.000000	0.007186
-775.000000	675.000000	0.006656
-775.000000	700.000000	0.006161
-775.000000	725.000000	0.005702
-775.000000	750.000000	0.005275
-775.000000	775.000000	0.004879
-775.000000	800.000000	0.004512
-750.000000	-775.000000	0.005104
-750.000000	-750.000000	0.005532
-750.000000	-725.000000	0.005995
-750.000000	-700.000000	0.006496
-750.000000	-675.000000	0.007037
-750.000000	-650.000000	0.007619
-750.000000	-625.000000	0.008245
-750.000000	-600.000000	0.008916
-750.000000	-575.000000	0.009634
-750.000000	-550.000000	0.010400
-750.000000	-525.000000	0.011213
-750.000000	-500.000000	0.012073
