64	64
-775.000000	-775.000000	-4.970894
-775.000000	-750.000000	-5.282844
-775.000000	-725.000000	-5.610663
-775.000000	-700.000000	-5.954184
-775.000000	-675.000000	-6.313010
-775.000000	-650.000000	-6.686465
-775.000000	-625.000000	-7.073550
-775.000000	-600.000000	-7.472893
-775.000000	-575.000000	-7.882706
-775.000000	-550.000000	-8.300728
-775.000000	-525.000000	-8.724193
-775.000000	-500.000000	-9.149785
-775.000000	-475.000000	-9.573615
-775.000000	-450.000000	-9.991211
-775.000000	-425.000000	-10.397523
-775.000000	-400.000000	-10.786959
-775.000000	-375.000000	-11.153437
-775.000000	-350.000000	-11.490479
-775.000000	-325.000000	-11.791336
-775.000000	-300.000000	-12.049137
-775.000000	-275.000000	-12.257082
-775.000000	-250.000000	-12.408654
-775.000000	-225.000000	-12.497853
-775.000000	-200.000000	-12.519434
-775.000000	-175.000000	-12.469152
-775.000000	-150.000000	-12.343978
-775.000000	-125.000000	-12.142291
-775.000000	-100.000000	-11.864025
-775.000000	-75.000000	-11.510752
-775.000000	-50.000000	-11.085711
-775.000000	-25.000000	-10.593755
-775.000000	0.000000	-10.041240
-775.000000	25.000000	-9.435836
-775.000000	50.000000	-8.786292
-775.000000	75.000000	-8.102152
-775.000000	100.000000	-7.393439
-775.000000	125.000000	-6.670338
-775.000000	150.000000	-5.942871
-775.000000	175.000000	-5.220610
-775.000000	200.000000	-4.512408
-775.000000	225.000000	-3.826199
-775.000000	250.000000	-3.168833
-775.000000	275.000000	-2.545979
-775.000000	300.000000	-1.962086
-775.000000	325.000000	-1.420389
-775.000000	350.000000	-0.922966
-775.000000	375.000000	-0.470830
-775.000000	400.000000	-0.064040
-775.000000	425.000000	0.298157
-775.000000	450.000000	0.617194
-775.000000	475.000000	0.895038
-775.000000	500.000000	1.134058
-775.000000	525.000000	1.336906
-775.000000	550.000000	1.506400
-775.000000	575.000000	1.645442
-775.000000	600.000000	1.756930
-775.000000	625.000000	1.843706
-775.000000	650.000000	1.908501
-775.000000	675.000000	1.953904
-775.000000	700.000000	1.982337
-775.000000	725.000000	1.996042
-775.000000	750.000000	1.997073
-775.000000	775.000000	1.987297
-775.000000	800.000000	1.968393
-750.000000	-775.000000	-5.182801
-750.000000	-750.000000	-5.521048
-750.000000	-725.000000	-5.877864
-750.000000	-700.000000	-6.253260
-750.000000	-675.000000	-6.647000
-750.000000	-650.000000	-7.058543
-750.000000	-625.000000	-7.486996
-750.000000	-600.000000	-7.931045
-750.000000	-575.000000	-8.388901
-750.000000	-550.000000	-8.858233
-750.000000	-525.000000	-9.336107
-750.000000	-500.000000	-9.818938
-750.000000	-475.000000	-10.302443
-750.000000	-450.000000	-10.781619
-750.000000	-425.000000	-11.250732
-750.000000	-400.000000	-11.703348
-750.000000	-375.000000	-12.132387
-750.000000	-350.000000	-12.530216
-750.000000	-325.000000	-12.888795
-750.000000	-300.000000	-13.199856
-750.000000	-275.000000	-13.455127
-750.000000	-250.000000	-13.646602
-750.000000	-225.000000	-13.766826
-750.000000	-200.000000	-13.809208
-750.000000	-175.000000	-13.768326
-750.000000	-150.000000	-13.640217
-750.000000	-125.000000	-13.422629
-750.000000	-100.000000	-13.115215
-750.000000	-75.000000	-12.719654
-750.000000	-50.000000	-12.239691
-750.000000	-25.000000	-11.681081
-750.000000	0.000000	-11.051448
-750.000000	25.000000	-10.360051
-750.000000	50.000000	-9.617480
-750.000000	75.000000	-8.835294
-750.000000	100.000000	-8.025624
-750.000000	125.000000	-7.200758
-750.000000	150.000000	-6.372740
-750.000000	175.000000	-5.552998
-750.000000	200.000000	-4.752022
-750.000000	225.000000	-3.979105
