64	64
-775.000000	-775.000000	-3.847640
-775.000000	-750.000000	-4.035985
-775.000000	-725.000000	-4.232073
-775.000000	-700.000000	-4.435767
-775.000000	-675.000000	-4.646831
-775.000000	-650.000000	-4.864912
-775.000000	-625.000000	-5.089526
-775.000000	-600.000000	-5.320038
-775.000000	-575.000000	-5.555650
-775.000000	-550.000000	-5.795384
-775.000000	-525.000000	-6.038067
-775.000000	-500.000000	-6.282323
-775.000000	-475.000000	-6.526566
-775.000000	-450.000000	-6.768996
-775.000000	-425.000000	-7.007608
-775.000000	-400.000000	-7.240206
-775.000000	-375.000000	-7.464418
-775.000000	-350.000000	-7.677736
-775.000000	-325.000000	-7.877554
-775.000000	-300.000000	-8.061222
-775.000000	-275.000000	-8.226104
-775.000000	-250.000000	-8.369652
-775.000000	-225.000000	-8.489474
-775.000000	-200.000000	-8.583418
-775.000000	-175.000000	-8.649640
-775.000000	-150.000000	-8.686679
-775.000000	-125.000000	-8.693512
-775.000000	-100.000000	-8.669607
-775.000000	-75.000000	-8.614952
-775.000000	-50.000000	-8.530064
-775.000000	-25.000000	-8.415986
-775.000000	0.000000	-8.274256
-775.000000	25.000000	-8.106864
-775.000000	50.000000	-7.916187
-775.000000	75.000000	-7.704912
-775.000000	100.000000	-7.475957
-775.000000	125.000000	-7.232374
-775.000000	150.000000	-6.977267
-775.000000	175.000000	-6.713703
-775.000000	200.000000	-6.444636
-775.000000	225.000000	-6.172845
-775.000000	250.000000	-5.900876
-775.000000	275.000000	-5.631010
-775.000000	300.000000	-5.365236
-775.000000	325.000000	-5.105242
-775.000000	350.000000	-4.852418
-775.000000	375.000000	-4.607863
-775.000000	400.000000	-4.372410
-775.000000	425.000000	-4.146645
-775.000000	450.000000	-3.930942
-775.000000	475.000000	-3.725485
-775.000000	500.000000	-3.530301
-775.000000	525.000000	-3.345288
-775.000000	550.000000	-3.170242
-775.000000	575.000000	-3.004877
-775.000000	600.000000	-2.848848
-775.000000	625.000000	-2.701770
-775.000000	650.000000	-2.563229
-775.000000	675.000000	-2.432796
-775.000000	700.000000	-2.310038
-775.000000	725.000000	-2.194524
-775.000000	750.000000	-2.085830
-775.000000	775.000000	-1.983547
-775.000000	800.000000	-1.887280
-750.000000	-775.000000	-4.053371
-750.000000	-750.000000	-4.259063
-750.000000	-725.000000	-4.473839
-750.000000	-700.000000	-4.697621
-750.000000	-675.000000	-4.930219
-750.000000	-650.000000	-5.171315
-750.000000	-625.000000	-5.420441
-750.000000	-600.000000	-5.676957
-750.000000	-575.000000	-5.940035
