    64     64
 -775.00  -775.00    4.8135
 -775.00  -750.00    5.0134
 -775.00  -725.00    5.2097
 -775.00  -700.00    5.3987
 -775.00  -675.00    5.5760
 -775.00  -650.00    5.7362
 -775.00  -625.00    5.8730
 -775.00  -600.00    5.9795
 -775.00  -575.00    6.0481
 -775.00  -550.00    6.0711
 -775.00  -525.00    6.0407
 -775.00  -500.00    5.9500
 -775.00  -475.00    5.7935
 -775.00  -450.00    5.5676
 -775.00  -425.00    5.2715
 -775.00  -400.00    4.9072
 -775.00  -375.00    4.4800
 -775.00  -350.00    3.9978
 -775.00  -325.00    3.4705
 -775.00  -300.00    2.9095
 -775.00  -275.00    2.3260
 -775.00  -250.00    1.7303
 -775.00  -225.00    1.1310
 -775.00  -200.00    0.5337
 -775.00  -175.00   -0.0583
 -775.00  -150.00   -0.6446
 -775.00  -125.00   -1.2266
 -775.00  -100.00   -1.8070
 -775.00   -75.00   -2.3890
 -775.00   -50.00   -2.9752
 -775.00   -25.00   -3.5672
 -775.00     0.00   -4.1648
 -775.00    25.00   -4.7663
 -775.00    50.00   -5.3682
 -775.00    75.00   -5.9651
 -775.00   100.00   -6.5508
 -775.00   125.00   -7.1181
 -775.00   150.00   -7.6591
 -775.00   175.00   -8.1664
 -775.00   200.00   -8.6327
 -775.00   225.00   -9.0515
 -775.00   250.00   -9.4173
 -775.00   275.00   -9.7258
 -775.00   300.00   -9.9743
 -775.00   325.00  -10.1611
 -775.00   350.00  -10.2863
 -775.00   375.00  -10.3510
 -775.00   400.00  -10.3576
 -775.00   425.00  -10.3095
 -775.00   450.00  -10.2110
 -775.00   475.00  -10.0669
 -775.00   500.00   -9.8824
 -775.00   525.00   -9.6628
 -775.00   550.00   -9.4136
 -775.00   575.00   -9.1402
 -775.00   600.00   -8.8476
 -775.00   625.00   -8.5405
 -775.00   650.00   -8.2233
 -775.00   675.00   -7.8998
 -775.00   700.00   -7.5735
 -775.00   725.00   -7.2474
 -775.00   750.00   -6.9239
 -775.00   775.00   -6.6053
 -775.00   800.00   -6.2933
 -750.00  -775.00    5.2300
 -750.00  -750.00    5.4724
 -750.00  -725.00    5.7146
 -750.00  -700.00    5.9525
 -750.00  -675.00    6.1813
 -750.00  -650.00    6.3946
 -750.00  -625.00    6.5852
 -750.00  -600.00    6.7444
 -750.00  -575.00    6.8625
 -750.00  -550.00    6.9295
 -750.00  -525.00    6.9347
 -750.00  -500.00    6.8685
 -750.00  -475.00    6.7226
 -750.00  -450.00    6.4914
 -750.00  -425.00    6.1729
 -750.00  -400.00    5.7692
 -750.00  -375.00    5.2868
 -750.00  -350.00    4.7363
 -750.00  -325.00    4.1317
 -750.00  -300.00    3.4885
 -750.00  -275.00    2.8225
 -750.00  -250.00    2.1479
 -750.00  -225.00    1.4761
 -750.00  -200.00    0.8146
 -750.00  -175.00    0.1668
 -750.00  -150.00   -0.4680
 -750.00  -125.00   -1.0934
 -750.00  -100.00   -1.7148
 -750.00   -75.00   -2.3380
 -750.00   -50.00   -2.9682
 -750.00   -25.00   -3.6087
 -750.00     0.00   -4.2605
 -750.00    25.00   -4.9223
 -750.00    50.00   -5.5897
 -750.00    75.00   -6.2567
 -750.00   100.00   -6.9152
 -750.00   125.00   -7.5562
 -750.00   150.00   -8.1699
 -750.00   175.00   -8.7469
 -750.00   200.00   -9.2778
 -750.00   225.00   -9.7547
 -750.00   250.00  -10.1707
 -750.00   275.00  -10.5204
 -750.00   300.00  -10.8004
 -750.00   325.00  -11.0089
 -750.00   350.00  -11.1457
 -750.00   375.00  -11.2126
 -750.00   400.00  -11.2125
 -750.00   425.00  -11.1497
 -750.00   450.00  -11.0295
 -750.00   475.00  -10.8576
 -750.00   500.00  -10.6406
 -750.00   525.00  -10.3848
 -750.00   550.00  -10.0969
 -750.00   575.00   -9.7829
 -750.00   600.00   -9.4490
 -750.00   625.00   -9.1006
 -750.00   650.00   -8.7425
 -750.00   675.00   -8.3792
 -750.00   700.00   -8.0146
 -750.00   725.00   -7.6518
 -750.00   750.00   -7.2937
 -750.00   775.00   -6.9424
 -750.00   800.00   -6.5999
 -725.00  -775.00    5.6773
 -725.00  -750.00    5.9693
 -725.00  -725.00    6.2657
 -725.00  -700.00    6.5624
 -725.00  -675.00    6.8542
 -725.00  -650.00    7.1339
 -725.00  -625.00    7.3929
 -725.00  -600.00    7.6208
 -725.00  -575.00    7.8053
 -725.00  -550.00    7.9331
 -725.00  -525.00    7.9898
 -725.00  -500.00    7.9617
 -725.00  -475.00    7.8364
 -725.00  -450.00    7.6051
 -725.00  -425.00    7.2634
 -725.00  -400.00    6.8131
 -725.00  -375.00    6.2623
 -725.00  -350.00    5.6256
 -725.00  -325.00    4.9220
 -725.00  -300.00    4.1736
 -725.00  -275.00    3.4029
 -725.00  -250.00    2.6299
 -725.00  -225.00    1.8706
 -725.00  -200.00    1.1346
 -725.00  -175.00    0.4255
 -725.00  -150.00   -0.2591
 -725.00  -125.00   -0.9262
 -725.00  -100.00   -1.5855
 -725.00   -75.00   -2.2469
 -725.00   -50.00   -2.9194
 -725.00   -25.00   -3.6090
 -725.00     0.00   -4.3184
 -725.00    25.00   -5.0463
 -725.00    50.00   -5.7880
 -725.00    75.00   -6.5357
 -725.00   100.00   -7.2794
 -725.00   125.00   -8.0075
 -725.00   150.00   -8.7077
 -725.00   175.00   -9.3678
 -725.00   200.00   -9.9762
 -725.00   225.00  -10.5227
 -725.00   250.00  -10.9987
 -725.00   275.00  -11.3977
 -725.00   300.00  -11.7152
 -725.00   325.00  -11.9491
 -725.00   350.00  -12.0995
 -725.00   375.00  -12.1685
 -725.00   400.00  -12.1599
 -725.00   425.00  -12.0791
 -725.00   450.00  -11.9327
 -725.00   475.00  -11.7278
 -725.00   500.00  -11.4723
 -725.00   525.00  -11.1741
 -725.00   550.00  -10.8408
 -725.00   575.00  -10.4800
 -725.00   600.00  -10.0985
 -725.00   625.00   -9.7027
 -725.00   650.00   -9.2983
 -725.00   675.00   -8.8902
 -725.00   700.00   -8.4825
 -725.00   725.00   -8.0790
 -725.00   750.00   -7.6824
 -725.00   775.00   -7.2953
 -725.00   800.00   -6.9193
 -700.00  -775.00    6.1557
 -700.00  -750.00    6.5051
 -700.00  -725.00    6.8654
 -700.00  -700.00    7.2326
 -700.00  -675.00    7.6011
 -700.00  -650.00    7.9635
 -700.00  -625.00    8.3097
 -700.00  -600.00    8.6272
 -700.00  -575.00    8.9008
 -700.00  -550.00    9.1128
 -700.00  -525.00    9.2440
 -700.00  -500.00    9.2744
 -700.00  -475.00    9.1858
 -700.00  -450.00    8.9636
 -700.00  -425.00    8.5998
 -700.00  -400.00    8.0948
 -700.00  -375.00    7.4585
 -700.00  -350.00    6.7103
 -700.00  -325.00    5.8774
 -700.00  -300.00    4.9913
 -700.00  -275.00    4.0843
 -700.00  -250.00    3.1857
 -700.00  -225.00    2.3178
 -700.00  -200.00    1.4939
 -700.00  -175.00    0.7177
 -700.00  -150.00   -0.0162
 -700.00  -125.00   -0.7203
 -700.00  -100.00   -1.4106
 -700.00   -75.00   -2.1037
 -700.00   -50.00   -2.8140
 -700.00   -25.00   -3.5514
 -700.00     0.00   -4.3208
 -700.00    25.00   -5.1214
